Designator,Mid X,Mid Y,Rotation,Layer
B0,15.58,18.42,0.0,top
C13,55.98,12.42,270.0,bottom
C14,53.955,12.42,270.0,bottom
C15,55.18,25.245,90.0,bottom
C16,58.78,38.22,90.0,bottom
C17,39.379999,26.42,90.0,bottom
C18,57.13,25.245,90.0,bottom
C19,39.38,36.228645,90.0,bottom
C20,39.38,31.02,90.0,bottom
C21,3.38,19.42,180.0,top
C25,41.8,31.4,270.0,bottom
C26,36.999999,31.4,270.0,bottom
C27,37.8,26.4,270.0,bottom
C28,40.999999,26.4,270.0,bottom
C29,42.9,26.5,270.0,bottom
C30,35.799999,26.599999,270.0,bottom
C31,36.999999,29.2,180.0,bottom
C32,41.8,29.2,0.0,bottom
C33,51.18,35.42,0.0,bottom
C34,54.18,35.62,180.0,bottom
C35,58.78,33.22,270.0,bottom
C36,47.18,16.02,0.0,bottom
C37,47.18,18.020001,0.0,bottom
C38,58.18,12.42,270.0,bottom
C39,51.780001,25.245,90.0,bottom
C40,49.78,25.245,90.0,bottom
C52,57.18,35.62,0.0,bottom
C53,42.38,39.82,0.0,top
C60,41.9925,20.22,0.0,top
D0,28.967492,37.834614,0.0,top
D1,28.967492,32.42,0.0,top
D18,13.58,11.82,270.0,top
D19,15.58,11.82,270.0,top
D22,17.58,11.82,90.0,top
D27,53.98,11.82,180.0,top
D29,38.38,20.22,0.0,bottom
D8,39.98,10.82,0.0,bottom
FID1,1.38,10.62,0.0,top
FID2,58.58,29.62,0.0,top
FID3,44.98,11.22,0.0,top
FID4,32.38,11.42,0.0,bottom
FID5,32.18,25.62,0.0,bottom
FID6,42.38,39.82,0.0,bottom
J3,16.00081,32.92,180.0,bottom
J5,16.00081,17.72,180.0,bottom
J6,49.185,11.42,270.0,top
R11,20.18,15.62,0.0,top
R12,20.18,14.02,0.0,top
R27,20.18,10.82,0.0,top
R28,20.18,17.22,0.0,top
R29,20.18,12.42,0.0,top
R3,41.9675,20.22,0.0,bottom
R30,20.18,18.82,0.0,top
R31,35.58,19.02,90.0,bottom
R32,33.98,19.02,90.0,bottom
R33,32.18,19.02,90.0,bottom
R34,58.78,16.42,90.0,bottom
R36,13.58,15.02,90.0,top
R37,15.58,15.02,270.0,top
R38,3.38,13.62,180.0,top
R39,3.355,15.22,0.0,top
R41,36.38,40.02,0.0,bottom
R42,33.38,40.02,0.0,bottom
R49,32.18,17.62,0.0,top
R50,29.18,17.62,180.0,top
R51,37.78,10.82,180.0,top
R52,23.58,10.82,0.0,top
R56,21.98,38.62,180.0,top
R62,17.58,15.02,90.0,top
R9,3.38,12.02,180.0,top
RA4,57.38,24.22,0.0,top
RA5,50.18,24.22,180.0,top
RA6,48.18,15.22,270.0,top
RB4,57.38,26.22,180.0,top
RB5,50.18,26.22,0.0,top
RB6,46.18,15.22,90.0,top
TP1,24.18,16.02,0.0,top
TP2,52.78,14.02,0.0,top
U1,39.379999,29.82,0.0,top
U10,27.78,23.02,270.0,top
U11,53.53,18.72,180.0,bottom
U2,53.98,35.42,270.0,top
U6,8.98,15.82,0.0,top
U9,9.690061,30.292326,90.0,top
US1,30.575019,13.220747,0.0,top
Y1,43.38,36.22,0.0,bottom
